,Amount
585,11.93
586,1.98
587,210.0
588,120.0
589,5.34
590,10.12
591,22.13
592,7.5
593,151.26
594,17.75
595,12.39
596,3.78
597,9.99
598,10.55
599,144.0
600,16.31
601,5.0
602,60.0
603,88.97
604,100.0
605,75.3
606,45.0
607,3.59
608,337.0
609,5.95
610,41.18
611,1.0
612,9.99
613,18.72
614,147.8
615,89.0
616,2.0
617,92.0
618,46.87
619,144.0
620,90.0
621,94.86
622,266.14
623,35.43
624,60.0
625,18.88
626,14.0
627,134.0
628,94.26
629,8.4
630,8.99
631,94.84
632,0.99
633,17.99
634,15.92
635,37.6
636,56.8
637,125.0
638,1.0
639,186.74
640,200.0
641,0.89
642,16.99
643,2.27
644,4.5
645,55.75
646,12.5
647,1.98
648,1.98
649,258.0
650,299.43
651,227.7
652,29.99
653,1.0
654,7.5
655,148.9
656,50.0
657,99.99
658,59.14
659,0.0
660,1.0
661,31.5
662,13.99
663,6.0
664,138.97
665,13.0
666,300.0
667,9.99
668,1.38
669,9.99
670,2.28
671,10.99
672,10.76
673,1.29
674,1.0
675,244.93
676,71.0
677,4.49
678,239.0
679,64.0
680,18.14
681,129.74
682,82.89
683,9.99
684,728.79
685,134.99
686,0.05
687,2.97
688,12.94
689,8.68
690,15.0
691,50.9
692,94.48
693,2.28
694,109.99
695,26.88
696,15.3
697,85.38
698,181.66
699,18.42
700,15.95
701,0.95
702,12.06
703,272.0
704,7.4
705,112.0
706,43.62
707,116.0
708,89.5
709,55.0
710,285.7
711,1.0
712,52.16
713,89.06
714,6.0
715,4.98
716,15.0
717,83.88
718,1.98
719,67.32
720,9.99
721,2.0
722,51.31
723,8.49
724,639.04
725,29.95
726,113.0
727,128.19
728,1.29
729,15.0
730,4.49
731,5.67
732,30.27
733,51.9
734,74.39
735,0.89
736,5.11
737,1.0
738,1.99
739,89.1
740,229.52
741,1656.24
742,29.86
743,150.0
744,37.85
745,244.21
746,30.5
747,0.0
748,124.37
749,1.0
750,10.0
751,23.74
752,1.0
753,33.58
754,27.98
755,152.13
756,328.34
757,162.7
758,205.76
759,25.9
760,244.98
761,1.02
762,104.45
763,348.0
764,1.0
765,10.72
766,35.85
767,183.81
768,56.07
769,0.99
770,29.95
771,99.4
772,529.53
773,9.99
774,42.68
775,242.56
776,29.9
777,1.29
778,270.06
779,178.8
780,47.85
781,4.49
782,25.0
783,0.77
784,7.15
785,30.0
786,5.53
787,11.5
788,9.99
789,1.98
790,5.39
791,10.55
792,1.0
793,45.0
794,17.05
795,4.95
796,5.0
797,29.99
798,2.49
799,22.2
800,106.0
801,14.06
802,62.21
803,88.5
804,40.9
805,16.34
806,22.9
807,2.69
808,275.87
809,8.55
810,0.76
811,850.0
812,1.98
813,1.0
814,1.0
815,150.0
816,0.89
817,0.76
818,4.49
819,19.95
820,79.0
821,1.0
822,7.57
823,104.4
824,33.54
825,199.0
826,23.6
827,6.0
828,3.27
829,50.0
830,0.89
831,25.98
832,18.13
833,8.93
834,687.4
835,46.76
836,6.18
837,46.03
838,1.98
839,20.0
840,4.54
841,1.79
842,15.13
843,69.95
844,79.0
845,4.49
846,35.0
847,177.87
848,119.95
849,0.76
850,6.99
851,105.54
852,8.6
853,25.9
854,1.78
855,68.4
856,619.86
857,9.99
858,218.0
859,1.79
860,58.38
861,31.1
862,257.11
863,4.99
864,6.99
865,28.66
866,49.9
867,6.01
868,0.77
869,30.0
870,1.29
871,53.71
872,38.42
873,152.85
874,9.99
875,99.0
876,76.79
877,1366.03
878,9.5
879,14.02
880,2.75
881,9.99
882,1.19
883,21.0
884,46.4
885,1.29
886,9.99
887,78.64
888,81.56
889,29.98
890,29.76
891,8.0
892,26.99
893,4.54
894,24.95
895,9.84
896,31.0
897,29.9
898,327.6
899,206.4
900,24.9
901,106.0
902,7.16
903,35.6
904,38.6
905,1.98
906,10.0
907,50.0
908,1.0
909,5.99
910,8.91
911,239.76
912,67.17
913,518.85
914,2.0
915,1.0
916,9.86
917,375.49
918,363.0
919,134.1
920,30.67
921,155.99
922,21.04
923,1.98
924,5.5
925,1.79
926,1.51
927,0.76
928,0.89
929,9.99
930,302.03
931,79.0
932,13.59
933,5.99
934,25.8
935,45.0
936,45.76
937,17.4
938,39.8
939,8.94
940,7.99
941,11.66
942,1.0
943,13.1
944,478.1
945,29.95
946,39.0
947,36.0
948,542.84
949,0.69
950,0.0
951,29.95
952,25.09
953,33.97
954,79.9
955,1.0
956,279.0
957,10.0
958,27.29
959,57.0
960,11.5
961,61.24
962,39.95
963,3.58
964,42.0
965,42.0
966,76.61
967,90.24
968,943.96
969,1.79
970,3.59
971,9.99
972,0.89
973,127.46
974,110.0
975,1.0
976,22.8
977,47.85
978,17.14
979,0.75
980,12.99
981,131.43
982,21.5
983,9.77
984,7.98
985,83.0
986,1.0
987,2.69
988,16.72
989,0.89
990,68.97
991,411.1
992,4.56
993,103.0
994,0.92
995,10.0
996,189.0
997,284.0
998,29.98
999,44.95
1000,37.96
1001,4.96
1002,0.76
1003,1.29
1004,18.11
1005,6.72
1006,1.0
1007,29.99
1008,1.79
1009,11.5
1010,45.5
1011,3.27
1012,312.8
1013,379.0
1014,51.85
1015,29.99
1016,190.5
1017,1.98
1018,99.0
1019,30.62
1020,55.0
1021,60.0
1022,59.5
1023,55.5
1024,500.0
1025,0.76
1026,103.41
1027,51.0
1028,3.58
1029,1.98
1030,23.0
1031,2058.0
1032,149.0
1033,16.5
1034,48.69
1035,3.54
1036,59.99
1037,35.97
1038,104.79
1039,82.25
1040,6.07
1041,11.27
1042,366.3
1043,0.77
1044,136.96
1045,5.99
1046,0.92
1047,18.59
1048,32.0
1049,1.98
1050,62.48
1051,3.69
1052,1.98
1053,40.95
1054,8.0
1055,6.99
1056,15.9
1057,320.0
1058,79.0
1059,2.75
1060,1.79
1061,0.0
1062,1.52
1063,19.66
1064,802.82
1065,57.9
1066,29.03
1067,20.49
1068,152.65
1069,7.95
1070,40.0
1071,16.38
1072,18.98
1073,148.8
1074,0.99
1075,76.65
1076,14.99
1077,10.0
1078,4.49
1079,13.68
1080,8.99
1081,45.6
1082,10.0
1083,519.53
1084,16.99
1085,6.26
1086,29.98
1087,2.67
1088,312.0
1089,0.99
1090,1.79
1091,4.52
1092,56.98
1093,2.0
1094,19.66
1095,90.72
1096,138.0
1097,0.75
1098,118.03
1099,36.0
1100,47.0
1101,0.0
1102,40.1
1103,27.98
1104,112.06
1105,20.62
1106,11.87
1107,28.53
1108,193.02
1109,118.0
1110,159.0
1111,75.66
1112,40.0
1113,0.0
1114,1.0
1115,15.0
1116,500.0
1117,70.8
1118,5.0
1119,163.34
1120,10.0
1121,35.0
1122,2.31
1123,39.99
1124,224.68
1125,184.5
1126,522.0
1127,109.9
1128,31.98
1129,1.0
1130,49.99
1131,49.95
1132,2.69
1133,0.89
1134,0.89
1135,2.5
1136,19.99
1137,9.99
1138,34.0
1139,45.0
1140,9.99
1141,0.89
1142,15.0
1143,9.99
1144,9.99
1145,34.68
1146,1903.26
1147,805.0
1148,1.29
1149,15.19
1150,45.8
1151,50.0
1152,1.0
1153,26.4
1154,9.99
1155,11.49
1156,10.18
1157,115.36
1158,230.1
1159,23.53
1160,17.55
1161,50.0
1162,1.98
1163,146.35
1164,13.7
1165,2.49
1166,197.84
1167,0.89
1168,179.75
1169,1.98
1170,11.5
1171,48.0
1172,7.98
1173,64.0
1174,119.5
1175,1.0
1176,51.15
1177,539.11
1178,139.0
1179,1.29
1180,0.85
1181,12.31
1182,1.0
1183,28.62
1184,133.08
1185,433.4
1186,34.99
1187,3.57
1188,385.35
1189,79.9
1190,39.95
1191,41.08
1192,341.89
1193,6.0
1194,120.34
1195,10.0
1196,5.36
1197,0.89
1198,0.0
1199,5.99
1200,152.0
1201,1.29
1202,39.8
1203,1.0
1204,25.54
1205,1.0
1206,598.75
1207,49.98
1208,133.84
1209,0.89
1210,28.56
1211,9.9
1212,100.8
1213,36.0
1214,85.0
1215,139.0
1216,79.94
1217,0.0
1218,1.29
1219,783.18
1220,40.78
1221,0.76
1222,8.5
1223,12.79
1224,96.38
1225,22.96
1226,264.0
1227,93.39
1228,2.99
1229,425.28
1230,523.99
1231,56.0
1232,0.89
1233,1.0
1234,189.16
1235,897.35
1236,54.31
1237,1.98
1238,36.99
1239,30.27
1240,28.81
1241,17.6
1242,120.34
1243,81.45
1244,5.38
1245,6.03
1246,29.64
1247,1.82
1248,15.0
1249,3.58
1250,92.18
1251,38.7
1252,552.89
1253,10.0
1254,22.81
1255,39.0
1256,17.49
1257,28.08
1258,36.32
1259,74.0
1260,69.99
1261,122.38
1262,60.0
1263,0.89
1264,21.82
1265,30.0
1266,128.75
1267,13.99
1268,9.88
1269,1.79
1270,359.2
1271,20.08
1272,877.7
1273,50.34
1274,5.99
1275,129.61
1276,22.29
1277,1.79
1278,3.78
1279,60.0
1280,12.31
1281,79.95
1282,25.75
1283,1.0
1284,55.04
1285,18.27
1286,925.31
1287,1.98
1288,119.9
1289,29.5
1290,1.98
1291,128.36
1292,5.0
1293,1619.1
1294,46.16
1295,8.0
1296,6.13
1297,21.98
1298,2.0
1299,27.62
1300,0.99
1301,43.71
1302,94.28
1303,7.55
1304,9.35
1305,15.16
1306,1.56
1307,24.95
1308,0.89
1309,2.69
1310,3.82
1311,30.78
1312,0.89
1313,12.31
1314,64.99
1315,0.76
1316,5.0
1317,17.9
1318,1.0
1319,1.0
1320,79.99
1321,1.29
1322,12.99
1323,9.99
1324,1.0
1325,1.0
1326,1.0
1327,20.0
1328,101.14
1329,178.23
1330,24.95
1331,92.34
1332,11.85
1333,13.0
1334,8.99
1335,49.0
1336,37.92
1337,17.12
1338,39.0
1339,1.78
1340,135.0
1341,2.0
1342,6.51
1343,477.76
1344,9.99
1345,0.75
1346,21.98
1347,255.99
1348,190.0
1349,61.22
1350,12.31
1351,46.5
1352,1.0
1353,11.85
1354,58.95
1355,1.29
1356,39.95
1357,4.0
1358,73.99
1359,10.27
1360,79.0
1361,70.73
1362,5.58
1363,28.23
1364,29.4
1365,169.0
1366,0.76
1367,7.28
1368,11.99
1369,1.29
1370,4.99
1371,389.76
1372,184.91
1373,53.14
1374,188.0
1375,6.42
1376,99.0
1377,282.0
1378,28.22
1379,4171.8
1380,30.0
1381,54.99
1382,15.0
1383,69.99
1384,34.98
1385,10.0
1386,61.0
1387,0.92
1388,5.0
1389,141.01
1390,1.98
1391,1.0
1392,27.86
1393,74.8
1394,3.99
1395,15.9
1396,26.0
1397,0.02
1398,19.93
1399,46.9
1400,94.0
1401,14.9
1402,195.39
1403,1.0
1404,14.9
1405,19.99
1406,126.47
1407,6.99
1408,75.85
1409,3.9
1410,15.0
1411,49.8
1412,1.29
1413,1.98
1414,0.79
1415,37.44
1416,6.8
1417,8.0
1418,0.89
1419,207.22
1420,18.26
1421,3.59
1422,302.35
1423,0.89
1424,62.72
1425,100.5
1426,17.0
1427,337.31
1428,190.45
1429,29.73
1430,307.99
1431,105.75
1432,266.22
1433,80.23
1434,118.0
1435,7.56
1436,146.5
1437,6.71
1438,26.77
1439,28.0
1440,10.75
1441,6.5
1442,20.87
1443,47.84
1444,1.79
1445,153.83
1446,11.78
1447,70.0
1448,177.43
1449,12.0
1450,16.55
1451,140.9
1452,13.5
1453,1.0
1454,55.0
1455,11.02
1456,5.0
1457,20.0
1458,4.5
1459,112.0
1460,0.99
1461,236.02
1462,7.02
1463,941.25
1464,100.0
1465,1.29
1466,0.76
1467,328.0
1468,24.89
1469,529.29
1470,29.99
1471,17.99
1472,20.0
1473,1.79
1474,12.2
1475,6.99
1476,204.0
1477,1.29
1478,0.99
1479,3.27
1480,17.66
1481,199.99
1482,30.0
1483,30.0
1484,1.0
1485,5.32
1486,22.9
1487,65.0
1488,1.98
1489,11.09
1490,296.24
1491,34.66
1492,0.99
1493,8.15
1494,15.37
1495,0.76
1496,1.98
1497,90.4
1498,8.49
1499,170.55
1500,59.0
1501,39.0
1502,1.0
1503,238.64
1504,180.0
1505,126.72
1506,479.1
1507,72.14
1508,72.0
1509,27.63
1510,109.0
1511,49.9
1512,2.17
1513,5.44
1514,366.17
1515,159.98
1516,13.99
1517,118.3
1518,52.9
1519,20.0
1520,162.92
1521,3.98
1522,1.18
1523,6.99
1524,82.5
1525,6.99
1526,11.85
1527,1.99
1528,12.0
1529,30.0
1530,74.0
1531,0.12
1532,13.99
1533,436.0
1534,1.0
1535,18.4
1536,1.52
1537,17.99
1538,126.96
1539,5.49
1540,1.29
1541,38.0
1542,38.52
1543,79.95
1544,82.93
1545,65.85
1546,6.45
1547,74.5
1548,14.99
1549,29.61
1550,40.0
1551,9.99
1552,1.19
1553,21.37
1554,1.0
1555,72.0
1556,200.0
1557,99.99
1558,22.0
1559,1.29
1560,208.08
1561,30.0
1562,25.37
1563,152.13
1564,23.19
1565,40.0
1566,74.91
1567,38.94
1568,220.28
1569,121.38
1570,18.99
1571,22.55
1572,24.0
1573,125.29
1574,4.13
1575,76.0
1576,3.47
1577,0.76
1578,6.49
1579,37.5
1580,5.92
1581,1.0
1582,2.67
1583,150.99
1584,52.0
1585,59.88
1586,67.91
1587,0.12
1588,1.0
1589,8.62
1590,24.21
1591,39.0
1592,499.0
1593,69.99
1594,10.98
1595,15.99
1596,100.0
1597,3.71
1598,29.95
1599,67.46
1600,5.92
1601,93.02
1602,22.49
1603,5.99
1604,158.0
1605,1.0
1606,28.97
1607,14.95
1608,66.11
1609,2.69
1610,364.65
1611,6.9
1612,49.01
1613,30.39
1614,0.89
1615,56.0
1616,135.0
1617,8.69
1618,12.53
1619,54.9
1620,62.36
1621,60.0
1622,0.0
1623,15.95
1624,1.0
1625,93.98
1626,29.99
1627,3.51
1628,69.5
1629,1.77
1630,145.56
1631,2.5
1632,17.99
1633,179.7
1634,22.82
1635,4.49
1636,17.8
1637,0.89
1638,552.66
1639,14.68
1640,25.0
1641,159.0
1642,67.42
1643,106.85
1644,2.5
1645,158.0
1646,3.78
1647,114.0
1648,4.79
1649,75.31
1650,1.49
1651,24.98
1652,1.0
1653,1.0
1654,143.53
1655,0.68
1656,26.99
1657,19.99
1658,325.58
1659,99.0
1660,10.0
1661,15.95
1662,6.24
1663,152.0
1664,6.78
1665,1.18
1666,8.76
1667,0.99
1668,3.59
1669,581.4
1670,30.29
1671,39.04
1672,0.76
1673,5.99
1674,407.0
1675,188.78
1676,73.69
1677,1.0
1678,19.3
1679,39.0
1680,10.99
1681,25.2
1682,1.0
1683,1.9
1684,18.86
1685,16.99
1686,50.93
1687,215.18
1688,23.1
1689,18.0
1690,11.27
1691,8.99
1692,26.73
1693,281.13
1694,29.99
1695,38.01
1696,153.0
1697,13.95
1698,154.29
1699,273.5
1700,2.67
1701,84.95
1702,1.99
1703,160.1
1704,191.72
1705,0.8
1706,40.9
1707,19.5
1708,63.0
1709,3.49
1710,55.99
1711,300.0
1712,76.38
1713,100.0
1714,19.99
1715,6.99
1716,6.86
1717,7.0
1718,9.62
1719,31.5
1720,32.76
1721,435.7
1722,50.9
1723,11.5
1724,7.0
1725,2.49
1726,12.31
1727,27.67
1728,7.44
1729,1.0
1730,4.98
1731,111.0
1732,329.3
1733,41.0
1734,17.94
1735,2.05
1736,7.58
1737,70.55
1738,39.0
1739,1.79
1740,512.64
1741,72.31
1742,150.0
1743,355.25
1744,17.25
1745,5.9
1746,1.5
1747,21.2
1748,1.98
1749,15.0
1750,10.0
1751,0.76
1752,120.84
1753,272.0
1754,13.53
1755,15.0
1756,11.54
1757,38.6
1758,1228.0
1759,35.0
1760,15.99
1761,89.99
1762,110.9
1763,101.5
1764,1.98
1765,15.25
1766,15.95
1767,15.0
1768,15.97
1769,9.4
1770,229.98
1771,96.0
1772,14.49
1773,19.21
1774,7.21
1775,88.64
1776,195.0
1777,500.0
1778,51.72
1779,2.99
1780,219.0
1781,5.36
1782,5.92
1783,35.0
1784,1235.79
1785,15.0
1786,5.38
1787,396.0
1788,15.28
1789,12.99
1790,4.0
1791,45.9
1792,45.9
1793,3.78
1794,4.43
1795,49.99
1796,10.4
1797,19.27
1798,1.54
1799,11.61
1800,8.92
1801,0.22
1802,0.89
1803,9.99
1804,69.22
1805,17.5
1806,1.0
1807,1.99
1808,0.0
1809,231.75
1810,89.9
1811,1.0
1812,268.13
1813,3.54
1814,1.0
1815,22.48
1816,1.0
1817,90.0
1818,329.33
1819,9.99
1820,52.9
1821,59.99
1822,2.58
1823,65.15
1824,685.0
1825,118.41
1826,49.9
1827,36.0
1828,101.9
1829,0.11
1830,7.18
1831,82.91
1832,336.7
1833,0.99
1834,112.18
1835,89.0
1836,148.4
1837,8.01
1838,15.0
1839,150.81
1840,422.79
1841,5.0
1842,16.36
1843,15.96
1844,23.74
1845,6669.0
1846,15.68
1847,6.35
1848,150.0
1849,1.0
1850,26.2
1851,41.6
1852,2.58
1853,11.85
1854,1.98
1855,0.89
1856,1.0
1857,9.9
1858,9.99
1859,102.8
1860,1.0
1861,380.29
1862,39.0
1863,24.58
1864,8.99
1865,48.4
1866,24.99
1867,11.5
1868,126.29
1869,5.0
1870,2.67
1871,60.0
1872,17.85
1873,79.95
1874,13.38
1875,3.77
1876,9.99
1877,2.69
1878,1.0
1879,34.0
1880,68.0
1881,13.47
1882,3.96
1883,3.59
1884,29.99
1885,37.4
1886,0.5
1887,0.76
1888,455.57
1889,565.42
1890,60.0
1891,15.0
1892,1.54
1893,16.0
1894,4.0
1895,4.41
1896,198.29
1897,44.22
1898,145.72
1899,15.29
1900,86.0
1901,558.0
1902,235.11
1903,99.06
1904,19.98
1905,24.49
1906,0.11
1907,18.98
1908,44.99
1909,5.0
1910,8.96
1911,44.17
1912,8.27
1913,178.42
1914,79.9
1915,5.99
1916,1.98
1917,99.82
1918,64.99
1919,42.81
1920,4.4
1921,89.9
1922,1.0
1923,0.08
1924,119.1
1925,50.95
1926,1.98
1927,169.28
1928,34.0
1929,2.23
1930,3.58
1931,5.85
1932,99.0
1933,1.0
1934,12.0
1935,25.26
1936,46.75
1937,3.95
1938,159.0
1939,21.07
1940,1.29
1941,67.4
1942,1.12
1943,294.75
1944,27.45
1945,45.9
1946,25.0
1947,9.99
1948,39.8
1949,0.76
1950,45.51
1951,21.42
1952,43.0
1953,8.0
1954,0.76
1955,75.0
1956,154.0
1957,4.8
1958,74.25
1959,20.0
1960,150.15
1961,15.89
1962,5.99
1963,12.99
1964,88.7
1965,2.58
1966,1.0
1967,20.0
1968,39.65
1969,4.39
1970,6.99
1971,8.78
1972,11.28
1973,55.45
1974,51.01
1975,3.11
1976,64.95
1977,17.18
1978,5.68
1979,0.89
1980,4.69
1981,47.85
1982,8.0
1983,550.7
1984,44.22
1985,1.29
1986,2.5
1987,59.19
1988,238.0
1989,35.97
1990,329.15
1991,1.5
1992,1.79
1993,37.78
1994,73.67
1995,49.0
1996,3.7
1997,2.68
1998,103.97
1999,15.95
2000,22.0
2001,2.23
2002,6.83
2003,4.99
2004,45.0
2005,2.0
2006,1.98
2007,3.4
2008,25.35
2009,65.9
2010,1.0
2011,159.64
2012,30.15
2013,5.99
2014,9.94
2015,22.68
2016,293.0
2017,25.0
2018,88.0
2019,7.7
2020,9.36
2021,5.0
2022,29.56
2023,167.7
2024,49.18
2025,8.49
2026,55.0
2027,15.95
2028,145.37
2029,0.89
2030,2.0
2031,10.02
2032,10.0
2033,188.9
2034,7.7
2035,9.99
2036,420.0
2037,75.0
2038,76.79
2039,3.69
2040,2.99
2041,1.5
2042,12.58
2043,1.0
2044,22.8
2045,5.5
2046,207.1
2047,15.0
2048,325.1
2049,15.0
2050,10.45
2051,2155.17
2052,39.0
2053,18.2
2054,10.59
2055,50.0
2056,476.24
2057,8.09
2058,23.98
2059,23.95
2060,1.0
2061,160.37
2062,10.0
2063,117.0
2064,11.99
2065,5.0
2066,3.57
2067,0.0
2068,410.67
2069,68.95
2070,35.97
2071,8.3
2072,50.0
2073,0.99
2074,8.94
2075,38.03
2076,36.51
2077,10.0
2078,39.5
2079,85.8
2080,180.0
2081,8.8
2082,71.9
2083,22.5
2084,8.8
2085,15.99
2086,312.08
2087,12.99
2088,18.98
2089,1.0
2090,0.89
2091,16.28
2092,8.95
2093,13.02
2094,9.36
2095,75.0
2096,15.73
2097,129.0
2098,1.03
2099,1.0
2100,60.9
2101,1.98
2102,1368.15
2103,2.0
2104,46.23
2105,4.49
2106,30.9
2107,139.0
2108,5.0
2109,1.98
2110,10.77
2111,19.95
2112,5.0
2113,1.29
2114,113.75
2115,29.95
2116,19.99
2117,223.68
2118,57.72
2119,5.25
2120,34.5
2121,14.2
2122,20.89
2123,50.0
2124,184.95
2125,1.68
2126,39.0
2127,1.98
2128,3.0
2129,66.99
2130,12.08
2131,75.31
2132,39.9
2133,38.72
2134,36.66
2135,4.49
2136,66.12
2137,799.31
2138,34.99
